"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP23-115O3.2",1.70214222197167,2.30556796691182,1.07131107579091,2.15209944059403,0.0313895232088277,0.0690355862431438
"Nutf2-ps2",2.15799773360004,-0.956131455600628,0.432966481980003,-2.2083267305777,0.0272215052599825,0.0608473104010691
"Slc6a14",1.44084965446352,2.03207762453817,1.38352410419422,1.46876922373657,0.141895394297702,0.24572983925273
"LT629152.1",2.39963331803889,-1.56651854156385,0.866584931724368,-1.80769187671741,0.0706544695901657,0.138547159877575
"RP24-291C20.1",1.70889226678963,0.668805283927143,1.14378275491555,0.584731043594482,0.558728576919499,0.692064157491442
"RP23-245C4.1",1.24747429041327,-0.624073173691239,1.51719728364,-0.411332909978581,0.680828441083078,0.788926083382806
"RP23-21P10.1",1.46907761391431,-0.296734174031824,2.0118581749821,-0.147492590542305,0.882743227662822,0.929412664213486
"Pinc",2.63945905523815,-1.37108148531054,0.982474235024665,-1.39553938050713,0.162853248021225,0.274565461227253
"RP23-255J22.5",3.18986050975281,-2.27055996980022,1.4691857222572,-1.54545469330577,0.122236319710524,0.217807229654525
"RP24-364O14.3",1.96942164209473,-0.738433557520645,1.14755013351919,-0.643486969284811,0.519908167377466,0.658492400251405
"RP24-159H19.2",2.17419238952468,-2.66078325125387,1.0989698750814,-2.42116122705982,0.0154710138557778,0.0370465813479061
"Gm26358",1.91230218869644,0.850295010781871,0.807449785369855,1.05306240237886,0.292312392994759,0.432711617368707
"RP24-565B3.3",1.61461422312104,1.12211731060906,1.01498281913806,1.10555300981545,0.268920038131896,0.406519081630471
"RP24-349N15.1",2.21838298119675,-0.415336121884494,0.410159792903043,-1.01262027402738,0.311241572138269,0.453541912463755
"RP23-180I2.1",0.721252632863351,-1.268559910727,1.04660428726838,-1.21207215196673,0.225484762641718,0.354737579566033
"RP23-85H5.1",1.86163646017876,-0.162543047908794,0.826772307712824,-0.1965995309621,0.844140937685823,0.903056782508539
"RP23-31C9.6",1.26630086440257,-1.78977515965796,0.766295874402238,-2.33561894229707,0.0195111104521328,0.0454528335730736
"Lrrc38",2.844661216506,-1.29021288270909,0.921410962025134,-1.40025779579764,0.161436134174822,0.272653375837001
"RP23-381C14.2",1.88269000059038,0.07495893419136,0.724509197551418,0.103461673702272,0.917596566164675,0.95071092465567
"Gm22716",1.57651462718019,0.848189121656507,0.773095928944181,1.09713308517208,0.27258321915077,0.410400179068578
"RP23-326H18.1",1.63944895116117,-1.45349683168206,1.14337409443785,-1.27123470677957,0.203645162875649,0.327955678843863
"RP23-392K24.8",1.62451153089823,2.57709673834847,1.72448112191966,1.49441864314507,0.13506623175926,0.236211818558498
"RP23-279L13.2",2.07350130974201,1.98863736755249,1.6001548879107,1.24277804766076,0.213949634080936,0.340444393554904
"RP23-214L4.7",1.78488768588145,-1.04997672311483,1.01110200939342,-1.03844786516122,0.299061595250608,0.440545772676535
"RP23-214L4.6",1.69690136732545,-1.39971917152825,1.39059375229555,-1.00656224667889,0.31414518462652,0.456843943703913
"AC161409.1",2.12271125302731,-0.881782531300178,0.805934219509892,-1.09411228603299,0.273905734645497,0.412033733828431
"RP24-263G24.2",1.64176620071565,-2.13348976714675,0.732251781975141,-2.91360133176047,0.00357285860301437,0.00989146129330119
"Fbxw22",1.79984465288766,-0.574705236886822,0.980157161895727,-0.586339884284762,0.557647133619133,0.691140220244162
"Fbxw24",1.39226565775455,-0.251369368273859,0.870527742141644,-0.288755149440095,0.772768756233619,0.85566369134932
"RP23-160F12.3",2.20774174408227,-2.73135564059508,0.784196094521068,-3.48300082043026,0.000495826845116567,0.00161322378955547
"Slc47a2",1.9650082201305,-2.83689069672423,1.16591746868536,-2.43318311365812,0.0149667297155488,0.0359880677533211
"RP23-19L20.5",1.78622061021905,-0.0461388469776497,0.89660477233685,-0.0514595152749372,0.958959361215431,0.975304610881782
