"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pcdh11x",463.617315597364,-0.244531814624399,0.417756870355594,-0.585344806935799,0.558315892424542,0.925479417174676
"RP23-67E6.2",127.709415287962,0.178450240025734,0.304776760605992,0.58551130890334,0.558203964764795,0.925479417174676
"RP24-235B15.4",186.71594546229,-0.241302513700662,0.41166985987466,-0.58615540563045,0.557771086222028,0.925479417174676
"RP24-121L4.7",30.8260314268451,-0.312413329633916,0.533168209622777,-0.585956409244566,0.557904808426363,0.925479417174676
"RP23-180L12.4",17.706522928151,-0.332526276197006,0.56836346423146,-0.585059204406545,0.558507908489035,0.925479417174676
"RP23-405K2.6",10.7417690464166,0.37442259788679,0.639754574379568,0.585259743159952,0.558373079078561,0.925479417174676
"RP23-213P21.2",9.19476338317618,-0.577534153939015,0.986422545675497,-0.585483529822934,0.558222637944748,0.925479417174676
"Gm22714",7.64338072213403,0.703208617771674,1.20203423429801,0.585015466038162,0.558537317467492,0.925479417174676
"RP24-252G15.3",3.1462293944306,1.05596267084667,1.80166541449228,0.586103647410161,0.557805865369689,0.925479417174676
"RP24-332C4.1",10.8489524363675,-0.677005015417422,1.15715529995872,-0.585059771529004,0.558507527169917,0.925479417174676
"RP23-408N24.1",5.39121892664434,-0.8600542181854,1.46875484208417,-0.585566898942085,0.558166597888474,0.925479417174676
"Wfdc11",4.51197765781029,0.577883297547002,0.987713725052439,0.585071648686791,0.558499541291799,0.925479417174676
"RP23-380A10.3",6.45640149219832,0.688923565409404,1.17809068139938,0.584779742584055,0.558695827098568,0.92561015276238
"Btc",34.3684550503414,-0.423396714251959,0.724394738879156,-0.584483419781698,0.558895117090668,0.925851672857882
"RP23-14P17.9",3.22572401851284,1.16926813056807,2.00065258284195,0.584443366427526,0.558922057364568,0.925851672857882
"Hmgn1",1829.07383626552,0.155333043698898,0.265900917627449,0.584176410840874,0.559101630385106,0.925882597782141
"RP24-234D9.2",21.4986606470016,0.690685414304361,1.18219380417324,0.584240428148231,0.559058565308426,0.925882597782141
"Atad2",5.57767787955221,0.919751924730428,1.57416117853906,0.584280655163931,0.5590315050206,0.925882597782141
"RP23-383A19.1",5.44412130399507,-1.09740064524995,1.87850739649772,-0.584187556192717,0.559094132680745,0.925882597782141
"Nelfb",3852.16686115856,0.153335238869541,0.262660770786227,0.583776703352235,0.559370553987835,0.925994824592778
"Ppp3cc",1269.79387894494,-0.137281674934738,0.23512588668649,-0.583864570887446,0.559311431238629,0.925994824592778
"Aldh5a1",740.675447671744,-0.203243518664998,0.348025229560476,-0.58399076101947,0.559226527965843,0.925994824592778
"Riox2",242.696222262627,0.203420831235888,0.348428151894676,0.583824326851117,0.559338509555826,0.925994824592778
"RP24-104I20.5",9.91980464133667,0.566659669970056,0.970627899421401,0.58380731720966,0.559349954733966,0.925994824592778
"Luzp2",3531.58198448733,-0.189565518624315,0.325147627688815,-0.583013691263157,0.559884083514503,0.926018668032768
"Rtca",2504.58335558701,-0.172333211956953,0.295571787694927,-0.583050274523582,0.559859456690116,0.926018668032768
"Ankrd34a",1504.24591325888,0.101519082284745,0.174051683795475,0.583269751093237,0.559711722251489,0.926018668032768
"Ints14",828.65422810323,-0.190644186660939,0.326944303774122,-0.583109063104067,0.559819882967655,0.926018668032768
"Upf3b",964.014496751863,-0.172805775886093,0.296209160509347,-0.583391059172325,0.559630075267203,0.926018668032768
"RP23-37J21.3",850.55629234055,0.240609260796224,0.412552263523299,0.583221283871676,0.559744344962606,0.926018668032768
"Bean1",303.328343854656,0.197862656877836,0.339370335190725,0.583028733983593,0.559873957113619,0.926018668032768
"Zfp9",179.882440951774,-0.332896199442467,0.571026835470553,-0.582978204812642,0.559907972499111,0.926018668032768
"Sall3",117.340969891377,0.311864579728645,0.534487922138048,0.583482931627584,0.559568243915643,0.926018668032768
"Mamstr",40.6202664289854,0.252704787359079,0.433404074189319,0.583069708866401,0.559846374249502,0.926018668032768
"RP23-21P2.4",14.5963871031908,-0.789725873865466,1.35308480132829,-0.583648469844766,0.55945684291936,0.926018668032768
"Aldoart2",20.9135469309703,0.282080100553525,0.48332866795855,0.583619634533485,0.55947624722567,0.926018668032768
"RP23-423B21.6",12.937368293558,-0.705344038671174,1.20884887781,-0.583484049676256,0.559567491474828,0.926018668032768
"Ubac1",4749.64961054625,0.17425602207138,0.299101195592662,0.582598881713248,0.560163358402344,0.926082788620157
"AC157667.1",2649.25755776625,0.163771182254545,0.281032411913784,0.582748378164963,0.560062700564088,0.926082788620157
"Hspa1b",233.466019947272,0.216717200390695,0.37197146335872,0.582617812758657,0.560150611406894,0.926082788620157
"Nos1",106.091115023307,0.370280370436496,0.635671933973674,0.582502310778175,0.560228385486687,0.926082788620157
"Lgals4",37.6707803996177,-0.395524353964843,0.678942996478816,-0.582559001294867,0.560190211870269,0.926082788620157
"RP23-378L22.2",13.0508673512402,0.664545464159548,1.14080183811773,0.582524889034203,0.560213181845958,0.926082788620157
"RP23-283B12.3",13.5317996937121,-0.492058632932802,0.844726103303355,-0.582506721419612,0.560225415453814,0.926082788620157
"Hspa8",94331.8736126991,0.16772686670286,0.288881344803386,0.580608162209352,0.561504569946417,0.926192776656285
"Arhgef2",2837.17050668651,0.149472640825993,0.257023536972736,0.581552345697618,0.560868249672197,0.926192776656285
"Coq9",5096.43238045763,-0.168927465168614,0.290426568389165,-0.581652932462624,0.56080048110203,0.926192776656285
"Ranbp3",4146.81499505556,0.175733689578596,0.302658584116572,0.580633422612293,0.561487541479578,0.926192776656285
"Slc35c2",2435.19479440373,0.171335552506882,0.294885879504317,0.58102325141809,0.561224782930047,0.926192776656285
"Ndufaf4",2099.71005127024,-0.225852344947826,0.388032379525754,-0.582045099493653,0.560536303304219,0.926192776656285
"RP24-317M4.4",1172.9218056946,0.139363617488902,0.239657467916541,0.581511682905013,0.560895646641371,0.926192776656285
"Pbx1",1798.39253918971,-0.204876738895503,0.353153955005404,-0.580134346484576,0.561824023446802,0.926192776656285
"Rusc1",2900.7286627845,-0.109526663824747,0.188622399224198,-0.580666263790669,0.56146540305664,0.926192776656285
"Ruvbl2",1869.09192025257,0.182415838844836,0.313365401275696,0.582118632440688,0.560486775581752,0.926192776656285
"Msto1",1196.25218646534,0.192702405016902,0.332103709035704,0.580247674970064,0.561747607729761,0.926192776656285
"Mrps22",939.6883756624,-0.161486300360895,0.277867358343991,-0.581163261936583,0.561130425359061,0.926192776656285
"Pabpn1",744.37787309773,0.200322393712729,0.345150722026347,0.580391060857863,0.561650931952801,0.926192776656285
"Dclk3",329.949299946648,0.413083785600143,0.711977436028087,0.580192243035982,0.561784984033061,0.926192776656285
"Cdkal1",719.113541383414,-0.164539501636992,0.283073351554089,-0.581261007910707,0.561064555768499,0.926192776656285
"Celf6",566.873130710019,0.22098010361485,0.380746260947994,0.580386798979055,0.561653805344447,0.926192776656285
"Dedd2",812.767510169462,0.202001472830905,0.347284059754493,0.581660652590007,0.560795279965321,0.926192776656285
"Fam185a",822.435907348439,-0.155720281334067,0.267437913146681,-0.582267037241873,0.560386824780096,0.926192776656285
"Ggh",541.570431184312,-0.190195989837565,0.327586199494218,-0.58059829788685,0.561511219721634,0.926192776656285
"Sphk2",619.496259249656,0.149361381059896,0.257375722589751,0.580324280615906,0.561695956525105,0.926192776656285
"Gpr146",548.557057441447,-0.169068005654344,0.291417605067354,-0.580157144642198,0.561808650583514,0.926192776656285
"Dusp19",228.342772792627,-0.192058460696378,0.330720032111921,-0.580728235510641,0.561423628721843,0.926192776656285
"Tgfbr2",521.318389154471,-0.201757860258099,0.346966503492947,-0.581490888102978,0.560909657600638,0.926192776656285
"Ifrd2",142.519900477514,0.231252704160685,0.397805198345946,0.581321473731923,0.561023810604379,0.926192776656285
"Vsig10",105.517474571447,0.320558934656593,0.550918380452133,0.581862842175484,0.560659070882335,0.926192776656285
"RP23-345O17.7",94.5957646597448,-0.210973989763549,0.363314660088165,-0.580692201389156,0.561447918674088,0.926192776656285
"Adcy4",87.3749397978323,0.33280951096253,0.571784759106016,0.582053833479013,0.560530420464237,0.926192776656285
"RP23-267M9.2",23.0016810367877,-0.595343429008897,1.02614093197355,-0.580177059952074,0.561795221799143,0.926192776656285
"RP23-132G24.1",23.3837877249407,-0.515808259944913,0.886427618462582,-0.581895519951792,0.56063705834478,0.926192776656285
"RP23-49M22.2",16.901595649552,-0.536251066024224,0.924269056137933,-0.580189353373956,0.561786932489551,0.926192776656285
"RP24-166B2.2",15.8962707973706,0.409847476748336,0.704582433457084,0.581688468640058,0.560776540173009,0.926192776656285
"RP23-480I16.2",8.40991141172936,0.633543975026779,1.09131630587907,0.580531942585106,0.56155595240389,0.926192776656285
"RP23-137F6.5",5.29450814447081,-0.889079866887713,1.52723471801595,-0.582150115106557,0.560465571248972,0.926192776656285
"Bcas3os1",6.61466475574212,-0.586992146791783,1.00906301997848,-0.581720006748736,0.56075529318061,0.926192776656285
"RP23-411L6.3",7.92843969575275,0.540460586212275,0.930459828256509,0.58085321880579,0.561339383672827,0.926192776656285
"RP23-314A15.8",6.20846504639172,-0.526040268890495,0.906349289757465,-0.580394639059365,0.56164851950717,0.926192776656285
"RP24-308M10.2",4.74289388194916,-0.649820810746874,1.11896346734351,-0.580734608154444,0.561419333090333,0.926192776656285
"Sp5",11.3844577384398,0.975081495175667,1.67883316605178,0.580809049340401,0.561369155423092,0.926192776656285
"Pkp4",2630.67735787502,-0.161697592830072,0.278766365495399,-0.580046995779844,0.561882926160245,0.926223541604982
"Fem1b",1673.49161123895,-0.188350009671984,0.324874975407378,-0.57976152036888,0.562075450015606,0.92640820859357
"Prrg2",171.718990201868,-0.237052416171214,0.408845992518304,-0.579808584428281,0.562043707945506,0.92640820859357
"Slc9a8",510.317921672044,-0.237061664392266,0.40920526542409,-0.579322126137799,0.562371838579802,0.926485768266773
"Pcolce2",543.710107584642,0.176453171091984,0.30453605066081,0.579416363708336,0.562308265301717,0.926485768266773
"RP24-63F2.1",191.011755589644,-0.440317152806913,0.759705222019233,-0.579589477661595,0.562191490548157,0.926485768266773
