"hs"	"ms"	"cell_type"	"category"
"1"	"A2M"	"A2m"	"astrocyte"	"top_mouse_enrich"
"2"	"AARS"	"Aars"	"neuron"	"top_all_expression"
"3"	"AARS2"	"Aars2"	"opc"	"manual"
"4"	"ABCA1"	"Abca1"	"microglia"	"top_all_enrich"
"5"	"ABCA9"	"Abca9"	"microglia"	"top_all_enrich"
"6"	"ABCB1B"	"Abcb1b"	"endothelial"	"manual"
"7"	"ABCC3"	"Abcc3"	"microglia"	"top_all_enrich"
"8"	"ABCC8"	"Abcc8"	"neuron"	"top_all_enrich"
"9"	"ABCF1"	"Abcf1"	"microglia"	"manual"
"10"	"ABCG1"	"Abcg1"	"oligodendrocyte"	"top_all_enrich"
"11"	"ABHD4"	"Abhd4"	"astrocyte"	"top_all_enrich"
"12"	"ABHD8"	"Abhd8"	"neuron"	"manual"
"13"	"ABI2"	"Abi2"	"microglia"	"top_all_expression"
"14"	"ABI3"	"Abi3"	"microglia"	"top_all_enrich"
"15"	"ABLIM3"	"Ablim3"	"neuron"	"top_all_enrich"
"16"	"ACAD9"	"Acad9"	"opc"	"manual"
"17"	"ACER3"	"Acer3"	"microglia"	"top_mouse_enrich"
"18"	"ACOT13"	"Acot13"	"oligodendrocyte"	"manual"
"19"	"ACSL6"	"Acsl6"	"astrocyte"	"top_all_enrich"
"20"	"ACTA1"	"Acta1"	"neuron"	"top_all_specificity"
"21"	"ACTN2"	"Actn2"	"neuron"	"manual"
"22"	"ACTR3"	"Actr3"	"microglia"	"top_all_expression"
"23"	"ACYP2"	"Acyp2"	"oligodendrocyte"	"manual"
"24"	"ADAM17"	"Adam17"	"microglia"	"top_all_enrich"
"25"	"ADAM8"	"Adam8"	"microglia"	"manual"
"26"	"ADAMTS15"	"Adamts15"	"neuron"	"manual"
"27"	"ADAMTS4"	"Adamts4"	"oligodendrocyte"	"top_all_enrich"
"28"	"ADAMTS9"	"Adamts9"	"endothelial"	"top_all_enrich"
"29"	"ADAMTSL2"	"Adamtsl2"	"endothelial"	"top_all_enrich"
"30"	"ADAMTSL3"	"Adamtsl3"	"opc"	"top_all_enrich"
"31"	"ADAP2"	"Adap2"	"microglia"	"top_all_enrich"
"32"	"ADAP2OS"	"Adap2os"	"microglia"	"top_mouse_enrich"
"33"	"ADARB1"	"Adarb1"	"neuron"	"top_all_enrich"
"34"	"ADCY1"	"Adcy1"	"opc"	"top_all_enrich"
"35"	"ADCY7"	"Adcy7"	"microglia"	"top_all_enrich"
"36"	"ADCY8"	"Adcy8"	"neuron"	"top_all_enrich"
"37"	"ADCYAP1"	"Adcyap1"	"neuron"	"top_all_enrich"
"38"	"ADD3"	"Add3"	"astrocyte"	"top_all_enrich"
"39"	"ADGB"	"Adgb"	"opc"	"top_all_specificity"
"40"	"ADGRA1"	"Adgra1"	"neuron"	"top_mouse_enrich"
"41"	"ADGRB1"	"Adgrb1"	"opc"	"top_mouse_enrich"
"42"	"ADGRB2"	"Adgrb2"	"astrocyte"	"manual"
"43"	"ADGRB3"	"Adgrb3"	"astrocyte"	"top_mouse_enrich"
"44"	"ADGRF5"	"Adgrf5"	"endothelial"	"top_mouse_enrich"
"45"	"ADGRG5"	"Adgrg5"	"microglia"	"top_mouse_specificity"
"46"	"ADGRG6"	"Adgrg6"	"endothelial"	"top_mouse_enrich"
"47"	"ADGRL4"	"Adgrl4"	"endothelial"	"top_mouse_enrich"
"48"	"ADORA1"	"Adora1"	"oligodendrocyte"	"top_all_enrich"
"49"	"ADRA1D"	"Adra1d"	"oligodendrocyte"	"top_mouse_specificity"
"50"	"ADRA2B"	"Adra2b"	"endothelial"	"manual"
"51"	"ADSSL1"	"Adssl1"	"oligodendrocyte"	"top_all_enrich"
"52"	"AEBP1"	"Aebp1"	"astrocyte"	"top_human_enrich"
"53"	"AFG3L2"	"Afg3l2"	"neuron"	"manual"
"54"	"AFP"	"Afp"	"microglia"	"top_all_specificity"
"55"	"AGBL4"	"Agbl4"	"neuron"	"top_all_enrich"
"56"	"AGK"	"Agk"	"neuron"	"manual"
"57"	"AGPAT2"	"Agpat2"	"microglia"	"top_mouse_enrich"
"58"	"AHNAK"	"Ahnak"	"endothelial"	"top_all_enrich"
"59"	"AIF1"	"Aif1"	"microglia"	"top_all_enrich"
"60"	"AIF1L"	"Aif1l"	"endothelial"	"top_all_enrich"
"61"	"AIFM3"	"Aifm3"	"astrocyte"	"top_all_enrich"
"62"	"AIM2"	"Aim2"	"microglia"	"top_all_enrich"
"63"	"AK1"	"Ak1"	"neuron"	"manual"
"64"	"AK3"	"Ak3"	"endothelial"	"manual"
"65"	"AKAP1"	"Akap1"	"neuron"	"manual"
"66"	"AKR1B8"	"Akr1b8"	"neuron"	"manual"
"67"	"ALCAM"	"Alcam"	"astrocyte"	"top_all_enrich"
"68"	"ALDH1L2"	"Aldh1l2"	"opc"	"top_all_enrich"
"69"	"ALDH3B1"	"Aldh3b1"	"microglia"	"top_all_enrich"
"70"	"ALKBH4"	"Alkbh4"	"opc"	"manual"
"71"	"ALKBH7"	"Alkbh7"	"neuron"	"manual"
"72"	"ALOX5AP"	"Alox5ap"	"microglia"	"top_all_enrich"
"73"	"ALPL"	"Alpl"	"endothelial"	"top_all_enrich"
"74"	"AMD-PS3"	"Amd-ps3"	NA	"manual"
"75"	"AMN1"	"Amn1"	"neuron"	"manual"
"76"	"AMPD3"	"Ampd3"	"opc"	"top_all_enrich"
"77"	"AMPH"	"Amph"	"neuron"	"top_all_enrich"
"78"	"ANAPC5"	"Anapc5"	"endothelial"	"top_all_expression"
"79"	"ANG"	"Ang"	"microglia"	"top_all_enrich"
"80"	"ANGPTL2"	"Angptl2"	"endothelial"	"top_all_enrich"
"81"	"ANGPTL7"	"Angptl7"	"microglia"	"top_all_enrich"
"82"	"ANKRA2"	"Ankra2"	"neuron"	"manual"
"83"	"ANKRD13B"	"Ankrd13b"	"neuron"	"manual"
"84"	"ANKRD2"	"Ankrd2"	NA	"manual"
"85"	"ANKRD27"	"Ankrd27"	"astrocyte"	"manual"
"86"	"ANKRD28"	"Ankrd28"	"oligodendrocyte"	"top_all_enrich"
"87"	"ANKRD34A"	"Ankrd34a"	"neuron"	"top_all_enrich"
"88"	"ANKRD34C"	"Ankrd34c"	"neuron"	"top_all_specificity"
"89"	"ANKRD55"	"Ankrd55"	"neuron"	"top_all_enrich"
"90"	"ANKS1B"	"Anks1b"	"oligodendrocyte"	"top_all_enrich"
"91"	"ANO6"	"Ano6"	"endothelial"	"top_all_enrich"
"92"	"ANTXR1"	"Antxr1"	"astrocyte"	"top_all_enrich"
"93"	"ANXA2"	"Anxa2"	"endothelial"	"top_all_enrich"
"94"	"ANXA3"	"Anxa3"	"microglia"	"top_all_enrich"
"95"	"ANXA4"	"Anxa4"	"endothelial"	"top_all_enrich"
"96"	"ANXA9"	"Anxa9"	"astrocyte"	"manual"
"97"	"AP1AR"	"Ap1ar"	"neuron"	"manual"
"98"	"AP1G2"	"Ap1g2"	"microglia"	"manual"
"99"	"AP1S2"	"Ap1s2"	"neuron"	"top_all_enrich"
"100"	"AP3B2"	"Ap3b2"	"neuron"	"top_all_enrich"
"101"	"APAF1"	"Apaf1"	"microglia"	"top_human_enrich"
"102"	"APBA2"	"Apba2"	"astrocyte"	"top_mouse_enrich"
"103"	"APBB1IP"	"Apbb1ip"	"microglia"	"top_all_enrich"
"104"	"APH1C"	"Aph1c"	"opc"	"manual"
"105"	"APLN"	"Apln"	"astrocyte"	"top_all_enrich"
"106"	"APOBEC1"	"Apobec1"	"microglia"	"top_all_enrich"
"107"	"APOBEC3"	"Apobec3"	"microglia"	"manual"
"108"	"APOBR"	"Apobr"	"microglia"	"top_all_specificity"
"109"	"APOC1"	"Apoc1"	"microglia"	"top_all_enrich"
"110"	"APOC4"	"Apoc4"	NA	"manual"
"111"	"APOD"	"Apod"	"endothelial"	"top_all_enrich"
"112"	"APOE"	"Apoe"	"astrocyte"	"top_all_enrich"
"113"	"AQP4"	"Aqp4"	"astrocyte"	"top_all_enrich"
"114"	"ARFIP2"	"Arfip2"	"neuron"	"manual"
"115"	"ARG2"	"Arg2"	"neuron"	"manual"
"116"	"ARHGAP18"	"Arhgap18"	"endothelial"	"top_all_enrich"
"117"	"ARHGAP19"	"Arhgap19"	"opc"	"top_all_enrich"
"118"	"ARHGAP25"	"Arhgap25"	"microglia"	"top_all_enrich"
"119"	"ARHGAP27"	"Arhgap27"	"microglia"	"top_all_enrich"
"120"	"ARHGAP30"	"Arhgap30"	"microglia"	"top_all_enrich"
"121"	"ARHGAP31"	"Arhgap31"	"endothelial"	"top_all_enrich"
"122"	"ARHGAP45"	"Arhgap45"	"microglia"	"top_mouse_enrich"
"123"	"ARHGAP9"	"Arhgap9"	"microglia"	"top_all_enrich"
"124"	"ARHGDIB"	"Arhgdib"	"microglia"	"top_all_enrich"
"125"	"ARHGEF26"	"Arhgef26"	"astrocyte"	"top_all_enrich"
"126"	"ARL11"	"Arl11"	"microglia"	"top_all_enrich"
"127"	"ARL6"	"Arl6"	"neuron"	"manual"
"128"	"ARMC6"	"Armc6"	"neuron"	"manual"
"129"	"ARNT2"	"Arnt2"	"astrocyte"	"top_all_enrich"
"130"	"ARPC1B"	"Arpc1b"	"microglia"	"top_all_enrich"
"131"	"ARPC5"	"Arpc5"	"microglia"	"top_all_expression"
"132"	"ARRDC3"	"Arrdc3"	"oligodendrocyte"	"top_all_enrich"
"133"	"ARVCF"	"Arvcf"	"opc"	"manual"
"134"	"ASAH1"	"Asah1"	"microglia"	"top_all_expression"
"135"	"ASB7"	"Asb7"	"oligodendrocyte"	"manual"
"136"	"ASCL1"	"Ascl1"	"opc"	"top_all_enrich"
"137"	"ASIC2"	"Asic2"	"neuron"	"top_all_enrich"
"138"	"ASPA"	"Aspa"	"oligodendrocyte"	"top_all_enrich"
"139"	"ASPG"	"Aspg"	"astrocyte"	"top_all_enrich"
"140"	"ASPRV1"	"Asprv1"	"neuron"	"manual"
"141"	"ATF3"	"Atf3"	"microglia"	"top_all_enrich"
"142"	"ATF7"	"Atf7"	"astrocyte"	"top_all_specificity"
"143"	"ATG13"	"Atg13"	"oligodendrocyte"	"top_human_enrich"
"144"	"ATG4A"	"Atg4a"	"endothelial"	"top_mouse_specificity"
"145"	"ATG9A"	"Atg9a"	"opc"	"manual"
"146"	"ATOH8"	"Atoh8"	"endothelial"	"manual"
"147"	"ATP11C"	"Atp11c"	"endothelial"	"top_mouse_specificity"
"148"	"ATP13A3"	"Atp13a3"	"microglia"	"top_all_enrich"
"149"	"ATP13A4"	"Atp13a4"	"astrocyte"	"top_all_enrich"
"150"	"ATP1A3"	"Atp1a3"	"neuron"	"top_all_enrich"
"151"	"ATP2A1"	"Atp2a1"	NA	"manual"
"152"	"ATP2B2"	"Atp2b2"	"neuron"	"top_all_enrich"
"153"	"ATP5A1"	"Atp5a1"	"microglia"	"top_all_expression"
"154"	"ATP5B"	"Atp5b"	"microglia"	"top_all_expression"
"155"	"ATP5H"	"Atp5h"	"endothelial"	"top_all_expression"
"156"	"ATP6V0D2"	"Atp6v0d2"	"microglia"	"manual"
"157"	"ATP6V0E"	"Atp6v0e"	"microglia"	"manual"
"158"	"ATP8A1"	"Atp8a1"	"oligodendrocyte"	"top_all_enrich"
"159"	"ATP8A2"	"Atp8a2"	"neuron"	"top_all_enrich"
"160"	"ATP8B2"	"Atp8b2"	"astrocyte"	"top_human_enrich"
"161"	"AXL"	"Axl"	"astrocyte"	"top_all_enrich"
"162"	"B2M"	"B2m"	"microglia"	"top_all_enrich"
"163"	"B3GNT7"	"B3gnt7"	"opc"	"top_all_enrich"
"164"	"B4GALNT1"	"B4galnt1"	"neuron"	"top_all_enrich"
"165"	"B4GALT1"	"B4galt1"	"microglia"	"top_all_enrich"
"166"	"BABAM1"	"Babam1"	"neuron"	"manual"
"167"	"BAIAP2"	"Baiap2"	"neuron"	"top_mouse_expression"
"168"	"BAIAP2L2"	"Baiap2l2"	"neuron"	"manual"
"169"	"BAP1"	"Bap1"	"neuron"	"manual"
"170"	"BASP1"	"Basp1"	"microglia"	"top_all_enrich"
"171"	"BATF"	"Batf"	"microglia"	"top_all_specificity"
"172"	"BATF2"	"Batf2"	"endothelial"	"top_all_specificity"
"173"	"BATF3"	"Batf3"	"microglia"	"top_all_enrich"
"174"	"BAZ1A"	"Baz1a"	"microglia"	"top_all_enrich"
"175"	"BAZ2A"	"Baz2a"	"astrocyte"	"manual"
"176"	"BBS10"	"Bbs10"	"astrocyte"	"top_all_enrich"
"177"	"BBS12"	"Bbs12"	"opc"	"manual"
"178"	"BCAP29"	"Bcap29"	"endothelial"	"top_human_expression"
"179"	"BCL11A"	"Bcl11a"	"neuron"	"top_all_enrich"
"180"	"BCL2"	"Bcl2"	"astrocyte"	"top_all_enrich"
"181"	"BCL2A1A"	"Bcl2a1a"	"microglia"	"manual"
"182"	"BCL2A1B"	"Bcl2a1b"	"microglia"	"manual"
"183"	"BCL2A1D"	"Bcl2a1d"	"microglia"	"manual"
"184"	"BCL2L11"	"Bcl2l11"	"microglia"	"top_all_enrich"
"185"	"BCL3"	"Bcl3"	"microglia"	"top_all_specificity"
"186"	"BCO2"	"Bco2"	"microglia"	"top_all_enrich"
"187"	"BCS1L"	"Bcs1l"	"opc"	"manual"
"188"	"BDKRB2"	"Bdkrb2"	"astrocyte"	"top_all_specificity"
"189"	"BDNF"	"Bdnf"	"neuron"	"top_all_enrich"
"190"	"BEGAIN"	"Begain"	"neuron"	"manual"
"191"	"BET1"	"Bet1"	"oligodendrocyte"	"top_mouse_enrich"
"192"	"BHLHE22"	"Bhlhe22"	"neuron"	"top_all_enrich"
"193"	"BHLHE40"	"Bhlhe40"	"astrocyte"	"top_all_enrich"
"194"	"BIN2"	"Bin2"	"microglia"	"top_all_enrich"
"195"	"BIN3"	"Bin3"	"microglia"	"top_all_enrich"
"196"	"BIRC2"	"Birc2"	"oligodendrocyte"	"top_mouse_specificity"
"197"	"BIRC5"	"Birc5"	"opc"	"top_all_enrich"
"198"	"BLNK"	"Blnk"	"microglia"	"top_all_enrich"
"199"	"BMP2K"	"Bmp2k"	"microglia"	"top_all_enrich"
"200"	"BMP4"	"Bmp4"	"oligodendrocyte"	"top_all_enrich"
"201"	"BMP6"	"Bmp6"	"opc"	"top_all_enrich"
"202"	"BNIP2"	"Bnip2"	"endothelial"	"top_all_enrich"
"203"	"BOK"	"Bok"	"endothelial"	"top_all_enrich"
"204"	"BOP1"	"Bop1"	"oligodendrocyte"	"manual"
"205"	"BORCS5"	"Borcs5"	NA	"manual"
"206"	"BRAP"	"Brap"	"microglia"	"top_all_specificity"
"207"	"BRINP1"	"Brinp1"	"opc"	"top_all_enrich"
"208"	"BRINP2"	"Brinp2"	"opc"	"top_all_enrich"
"209"	"BRSK2"	"Brsk2"	"neuron"	"top_mouse_enrich"
"210"	"BST2"	"Bst2"	"microglia"	"top_all_enrich"
"211"	"BTBD17"	"Btbd17"	"astrocyte"	"top_all_enrich"
"212"	"BTG1"	"Btg1"	"microglia"	"top_all_enrich"
"213"	"BTG2"	"Btg2"	"microglia"	"top_all_enrich"
"214"	"BTK"	"Btk"	"microglia"	"top_all_enrich"
"215"	"C1QA"	"C1qa"	"microglia"	"top_all_enrich"
"216"	"C1QB"	"C1qb"	"microglia"	"top_all_enrich"
"217"	"C1QC"	"C1qc"	"microglia"	"top_all_enrich"
"218"	"C1QL1"	"C1ql1"	"opc"	"top_all_enrich"
"219"	"C1QL2"	"C1ql2"	"opc"	"top_all_enrich"
"220"	"C1QTNF4"	"C1qtnf4"	"neuron"	"manual"
"221"	"C1S1"	"C1s1"	"astrocyte"	"manual"
"222"	"C2CD2L"	"C2cd2l"	"neuron"	"manual"
"223"	"C2CD4B"	"C2cd4b"	"endothelial"	"top_human_specificity"
"224"	"C3AR1"	"C3ar1"	"microglia"	"top_all_enrich"
"225"	"C4A"	"C4a"	"astrocyte"	"top_all_enrich"
"226"	"C4B"	"C4b"	"astrocyte"	"manual"
"227"	"C5AR1"	"C5ar1"	"microglia"	"top_all_enrich"
"228"	"CACNA2D4"	"Cacna2d4"	"oligodendrocyte"	"top_all_enrich"
"229"	"CACNB3"	"Cacnb3"	"neuron"	"manual"
"230"	"CACNG5"	"Cacng5"	"neuron"	"top_all_enrich"
"231"	"CACTIN"	"Cactin"	"microglia"	"manual"
"232"	"CADM1"	"Cadm1"	"astrocyte"	"top_all_enrich"
"233"	"CALCR"	"Calcr"	"microglia"	"top_human_enrich"
"234"	"CALHM2"	"Calhm2"	"microglia"	"manual"
"235"	"CALY"	"Caly"	"opc"	"top_all_enrich"
"236"	"CAMK2B"	"Camk2b"	"neuron"	"top_all_enrich"
"237"	"CAMK4"	"Camk4"	"neuron"	"top_all_enrich"
"238"	"CAMKK1"	"Camkk1"	"neuron"	"top_all_specificity"
"239"	"CAMKK2"	"Camkk2"	"neuron"	"manual"
"240"	"CAMTA2"	"Camta2"	"microglia"	"manual"
"241"	"CAP2"	"Cap2"	"neuron"	"top_all_enrich"
"242"	"CAPG"	"Capg"	"microglia"	"top_all_enrich"
"243"	"CAPN3"	"Capn3"	"microglia"	"top_all_enrich"
"244"	"CAPN5"	"Capn5"	"oligodendrocyte"	"top_all_enrich"
"245"	"CAPN6"	"Capn6"	"oligodendrocyte"	"manual"
"246"	"CAPNS1"	"Capns1"	"endothelial"	"top_all_expression"
"247"	"CAPRIN2"	"Caprin2"	"opc"	"top_all_enrich"
"248"	"CAPZA1"	"Capza1"	"microglia"	"top_human_enrich"
"249"	"CAR11"	"Car11"	"neuron"	"manual"
"250"	"CAR5B"	"Car5b"	"astrocyte"	"manual"
"251"	"CARD11"	"Card11"	"microglia"	"top_all_specificity"
"252"	"CARTPT"	"Cartpt"	"astrocyte"	"manual"
"253"	"CASP1"	"Casp1"	"microglia"	"top_all_enrich"
"254"	"CASP3"	"Casp3"	"neuron"	"manual"
"255"	"CASP4"	"Casp4"	"microglia"	"top_human_enrich"
"256"	"CASP6"	"Casp6"	"endothelial"	"top_mouse_enrich"
"257"	"CASP8"	"Casp8"	"microglia"	"top_all_enrich"
"258"	"CATSPER3"	"Catsper3"	"opc"	"manual"
"259"	"CAV2"	"Cav2"	"endothelial"	"top_all_enrich"
"260"	"CBFB"	"Cbfb"	"microglia"	"top_human_enrich"
"261"	"CBR1"	"Cbr1"	"oligodendrocyte"	"top_all_enrich"
"262"	"CBR3"	"Cbr3"	"astrocyte"	"top_all_enrich"
"263"	"CBS"	"Cbs"	"astrocyte"	"top_all_enrich"
"264"	"CBX4"	"Cbx4"	"astrocyte"	"manual"
"265"	"CBX6"	"Cbx6"	"neuron"	"manual"
"266"	"CBY1"	"Cby1"	"opc"	"manual"
"267"	"CCAR2"	"Ccar2"	"neuron"	"manual"
"268"	"CCDC113"	"Ccdc113"	"astrocyte"	"manual"
"269"	"CCDC117"	"Ccdc117"	"endothelial"	"manual"
"270"	"CCDC120"	"Ccdc120"	"neuron"	"manual"
"271"	"CCDC124"	"Ccdc124"	"opc"	"manual"
"272"	"CCDC136"	"Ccdc136"	"neuron"	"top_all_enrich"
"273"	"CCDC160"	"Ccdc160"	"oligodendrocyte"	"top_human_specificity"
"274"	"CCDC183"	"Ccdc183"	"astrocyte"	"manual"
"275"	"CCDC28B"	"Ccdc28b"	"oligodendrocyte"	"manual"
"276"	"CCDC80"	"Ccdc80"	"astrocyte"	"top_all_enrich"
"277"	"CCDC85B"	"Ccdc85b"	"endothelial"	"manual"
"278"	"CCDC97"	"Ccdc97"	"microglia"	"manual"
"279"	"CCK"	"Cck"	"neuron"	"top_all_enrich"
"280"	"CCL12"	"Ccl12"	"microglia"	"top_mouse_enrich"
"281"	"CCL19-PS3"	"Ccl19-ps3"	"endothelial"	"manual"
"282"	"CCL2"	"Ccl2"	"microglia"	"top_all_enrich"
"283"	"CCL3"	"Ccl3"	"microglia"	"top_all_enrich"
"284"	"CCL4"	"Ccl4"	"microglia"	"top_all_enrich"
"285"	"CCL5"	"Ccl5"	"microglia"	"top_all_specificity"
"286"	"CCL6"	"Ccl6"	"microglia"	"manual"
"287"	"CCL7"	"Ccl7"	"microglia"	"top_all_enrich"
"288"	"CCL9"	"Ccl9"	"microglia"	"manual"
"289"	"CCNB2"	"Ccnb2"	"opc"	"top_all_enrich"
"290"	"CCND1"	"Ccnd1"	"endothelial"	"top_all_enrich"
"291"	"CCNG1"	"Ccng1"	"oligodendrocyte"	"manual"
"292"	"CCR5"	"Ccr5"	"microglia"	"top_human_enrich"
"293"	"CCR6"	"Ccr6"	"microglia"	"top_all_enrich"
"294"	"CCRL2"	"Ccrl2"	"microglia"	"top_all_enrich"
"295"	"CCSAP"	"Ccsap"	"neuron"	"top_all_enrich"
"296"	"CD109"	"Cd109"	"endothelial"	"top_all_enrich"
"297"	"CD14"	"Cd14"	"microglia"	"top_all_enrich"
"298"	"CD180"	"Cd180"	"microglia"	"top_all_enrich"
"299"	"CD200R1"	"Cd200r1"	"microglia"	"manual"
"300"	"CD22"	"Cd22"	"microglia"	"top_mouse_specificity"
"301"	"CD24A"	"Cd24a"	"neuron"	"manual"
"302"	"CD274"	"Cd274"	"microglia"	"top_all_enrich"
"303"	"CD300A"	"Cd300a"	"microglia"	"top_all_enrich"
"304"	"CD300LB"	"Cd300lb"	"microglia"	"top_all_enrich"
"305"	"CD300LF"	"Cd300lf"	"microglia"	"top_all_enrich"
"306"	"CD302"	"Cd302"	"opc"	"top_all_enrich"
"307"	"CD34"	"Cd34"	"endothelial"	"top_all_enrich"
"308"	"CD36"	"Cd36"	"microglia"	"top_all_enrich"
"309"	"CD37"	"Cd37"	"microglia"	"top_all_enrich"
"310"	"CD44"	"Cd44"	"astrocyte"	"top_all_enrich"
"311"	"CD48"	"Cd48"	"microglia"	"top_all_enrich"
"312"	"CD52"	"Cd52"	"microglia"	"top_all_enrich"
"313"	"CD53"	"Cd53"	"microglia"	"top_all_enrich"
"314"	"CD59B"	"Cd59b"	"oligodendrocyte"	"manual"
"315"	"CD5L"	"Cd5l"	"microglia"	"manual"
"316"	"CD63"	"Cd63"	"astrocyte"	"top_all_enrich"
"317"	"CD63-PS"	"Cd63-ps"	"microglia"	"manual"
"318"	"CD68"	"Cd68"	"microglia"	"top_all_enrich"
"319"	"CD70"	"Cd70"	"opc"	"top_all_specificity"
"320"	"CD72"	"Cd72"	"microglia"	"top_all_specificity"
"321"	"CD74"	"Cd74"	"microglia"	"top_all_enrich"
"322"	"CD82"	"Cd82"	"oligodendrocyte"	"top_all_enrich"
"323"	"CD83"	"Cd83"	"microglia"	"top_all_enrich"
"324"	"CD84"	"Cd84"	"microglia"	"top_all_enrich"
"325"	"CD86"	"Cd86"	"microglia"	"top_all_enrich"
"326"	"CD9"	"Cd9"	"oligodendrocyte"	"top_all_enrich"
"327"	"CDC42EP3"	"Cdc42ep3"	"endothelial"	"top_all_enrich"
"328"	"CDH2"	"Cdh2"	"astrocyte"	"top_all_enrich"
"329"	"CDH24"	"Cdh24"	"opc"	"top_all_specificity"
"330"	"CDH6"	"Cdh6"	"endothelial"	"top_human_enrich"
"331"	"CDK1"	"Cdk1"	"opc"	"top_all_enrich"
"332"	"CDK16"	"Cdk16"	"neuron"	"manual"
"333"	"CDKN1A"	"Cdkn1a"	"microglia"	"top_all_enrich"
"334"	"CDSN"	"Cdsn"	NA	"manual"
"335"	"CEBPA"	"Cebpa"	"microglia"	"top_all_enrich"
"336"	"CEBPB"	"Cebpb"	"microglia"	"top_all_enrich"
"337"	"CEBPD"	"Cebpd"	"endothelial"	"top_all_enrich"
"338"	"CEBPG"	"Cebpg"	"endothelial"	"top_human_enrich"
"339"	"CELA1"	"Cela1"	"oligodendrocyte"	"top_all_enrich"
"340"	"CELSR3"	"Celsr3"	"neuron"	"top_all_enrich"
"341"	"CENPK"	"Cenpk"	"opc"	"top_all_specificity"
"342"	"CEPT1"	"Cept1"	"oligodendrocyte"	"top_mouse_expression"
"343"	"CERS2"	"Cers2"	"oligodendrocyte"	"top_all_enrich"
"344"	"CFAP221"	"Cfap221"	"neuron"	"manual"
"345"	"CFAP69"	"Cfap69"	"neuron"	"top_all_enrich"
"346"	"CFH"	"Cfh"	"microglia"	"top_all_enrich"
"347"	"CFL2"	"Cfl2"	"oligodendrocyte"	"top_all_enrich"
"348"	"CFLAR"	"Cflar"	"microglia"	"top_all_enrich"
"349"	"CFTR"	"Cftr"	"opc"	"top_all_enrich"
"350"	"CH25H"	"Ch25h"	"microglia"	"top_all_enrich"
"351"	"CHADL"	"Chadl"	"oligodendrocyte"	"top_all_enrich"
"352"	"CHEK2"	"Chek2"	"endothelial"	"manual"
"353"	"CHGA"	"Chga"	"opc"	"top_all_enrich"
"354"	"CHGB"	"Chgb"	"neuron"	"top_all_enrich"
"355"	"CHIL1"	"Chil1"	"astrocyte"	"manual"
"356"	"CHORDC1"	"Chordc1"	"neuron"	"top_all_expression"
"357"	"CHPF2"	"Chpf2"	"microglia"	"manual"
"358"	"CHRM2"	"Chrm2"	"neuron"	"top_all_enrich"
"359"	"CHRNA1"	"Chrna1"	NA	"manual"
"360"	"CHRNB2"	"Chrnb2"	"neuron"	"top_all_enrich"
"361"	"CIAO1"	"Ciao1"	"endothelial"	"manual"
"362"	"CIDEB"	"Cideb"	"astrocyte"	"top_all_specificity"
"363"	"CILP2"	"Cilp2"	"microglia"	"top_all_specificity"
"364"	"CISD2"	"Cisd2"	"endothelial"	"manual"
"365"	"CISH"	"Cish"	"endothelial"	"manual"
"366"	"CIT"	"Cit"	"neuron"	"top_all_enrich"
"367"	"CITED2"	"Cited2"	"microglia"	"top_all_enrich"
"368"	"CKLF"	"Cklf"	"endothelial"	"manual"
"369"	"CKMT1"	"Ckmt1"	"neuron"	"manual"
"370"	"CLDN11"	"Cldn11"	"oligodendrocyte"	"top_all_enrich"
"371"	"CLEC11A"	"Clec11a"	"neuron"	"manual"
"372"	"CLEC4A2"	"Clec4a2"	"microglia"	"manual"
"373"	"CLEC4A3"	"Clec4a3"	"microglia"	"manual"
"374"	"CLEC4N"	"Clec4n"	"microglia"	"manual"
"375"	"CLEC5A"	"Clec5a"	"microglia"	"top_all_enrich"
"376"	"CLEC7A"	"Clec7a"	"microglia"	"top_all_enrich"
"377"	"CLIC1"	"Clic1"	"microglia"	"top_all_enrich"
"378"	"CLN3"	"Cln3"	"microglia"	"manual"
"379"	"CLN5"	"Cln5"	"microglia"	"top_all_specificity"
"380"	"CLN8"	"Cln8"	"microglia"	"top_all_enrich"
"381"	"CLSTN1"	"Clstn1"	"neuron"	"top_all_enrich"
"382"	"CLSTN3"	"Clstn3"	"neuron"	"top_all_enrich"
"383"	"CLTB"	"Cltb"	"neuron"	"manual"
"384"	"CLU"	"Clu"	"astrocyte"	"top_all_enrich"
"385"	"CLVS2"	"Clvs2"	"opc"	"top_all_enrich"
"386"	"CMBL"	"Cmbl"	"astrocyte"	"top_all_enrich"
"387"	"CMTM3"	"Cmtm3"	"microglia"	"top_all_enrich"
"388"	"CMTM6"	"Cmtm6"	"microglia"	"top_all_enrich"
"389"	"CNEP1R1"	"Cnep1r1"	"neuron"	"manual"
"390"	"CNIH1"	"Cnih1"	"oligodendrocyte"	"top_all_expression"
"391"	"CNIH2"	"Cnih2"	"neuron"	"manual"
"392"	"CNIH3"	"Cnih3"	"neuron"	"top_all_enrich"
"393"	"CNKSR2"	"Cnksr2"	"neuron"	"top_all_enrich"
"394"	"CNMD"	"Cnmd"	"astrocyte"	"manual"
"395"	"CNN1"	"Cnn1"	"astrocyte"	"top_all_specificity"
"396"	"CNN2"	"Cnn2"	"endothelial"	"top_all_enrich"
"397"	"CNN3"	"Cnn3"	"astrocyte"	"top_all_enrich"
"398"	"CNNM2"	"Cnnm2"	"microglia"	"manual"
